hand	tableId	playerCount	heroPosition	villainPosition	openerPosition	foldedPositions	activePositions	maxLivePlayers	heroHole	villainHole	board	heroAction	villainAction	heroNet	modelId	archetype	streetsPlayed	heroActions	villainActions	outcome
1	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7d7h	6s8s	3c 6d 4h 7s Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Raise:2.50|Call|Raise:2.50|Call	tie
2	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2h2s	5h7h	7c Qc 4d 7d 8d	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Fold|Call|Call|Raise:2.50	tie
3	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4c3d	Th9s	Ac 2d Jh 2s 3s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Raise:2.50|Call|Call|Fold	tie
4	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ad5s	8c7s	2c Qc Jd Th Js	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Call|Call|Call|Call|Call	tie
5	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8dJs	TcTd	Jc 5d 3h Ah 3s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Fold|Fold|Call|Fold|Fold	tie
6	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8cQd	6s8s	3d 6d Td Ad Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Call	tie
7	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KdQs	9cAh	8d Qd 5h 8h Ks	Raise:2.50	Raise:2.50	-13.5000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	4	Raise:2.50|Call|Call|Call	Raise:2.50|Call|Call|Fold|Call|Call|Call|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Call|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Call	loss
8	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5d6s	6c3s	2c Jc Qc 4h Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Fold|Raise:2.50|Fold|Fold|Call	tie
9	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9cTd	3dJs	4c 6c 8d Qd 6h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Fold|Call|Fold|Fold|Call	tie
10	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9d8s	6dAh	2c 8d Td 5s 6s	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Raise:2.50|Raise:2.50|Call|Call	tie
11	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2dAd	TdQh	3d 4d 6d 6h 9h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Call|Call|Fold|Fold	tie
12	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9hKs	4cTs	9d 5h 6h Th 6s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Raise:2.50|Raise:2.50|Call|Call|Call	tie
13	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2c5d	Jc5h	8c 2d Td 8s 9s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Call|Raise:2.50|Raise:2.50	tie
14	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kh5s	5c8d	3c 3d 9d Ad 2h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Raise:2.50|Call|Call|Fold|Fold	tie
15	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KsAs	7c6h	9c Qh 2s 7s 8s	Raise:2.50	Call	94.5000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	4	Raise:2.50|Call|Call|Call	Call|Call|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Call|Check|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Call|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Call	win
16	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kc5d	8c4d	Ac 3d 6d 4h 9h	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Raise:2.50|Call|Call|Call|Call|Raise:2.50	tie
17	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8dTd	JcAs	Kc 9d Qd 2s 9s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Fold|Fold|Call|Call	tie
18	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Qc4h	2sJs	9d Qd 9h Kh 8s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Raise:2.50|Call|Raise:2.50|Call	tie
19	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8cTd	4dAs	9c 6d 6h 9s Ts	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Raise:2.50|Call|Fold|Call	tie
20	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ah2s	TdTh	3c Ac 5d Ad Qh	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Raise:2.50|Call|Raise:2.50|Fold|Fold	tie
21	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Tc6d	3c4s	8c 5d Qd 2h 8h	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Fold|Raise:2.50|Call|Fold|Call|Raise:2.50	tie
22	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2c9d	6cKh	5c Jc 9h Th Ts	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Call|Call	tie
23	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jd5s	8cQc	Tc Td Jh 4s As	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Raise:2.50|Raise:2.50|Call|Call|Call	tie
24	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5dJs	Jd9h	9c Ac 2d Jh 8s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Fold|Fold|Fold|Call|Call	tie
25	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9d2h	JdAd	7c Qc 7h Kh 3s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Call	tie
26	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cAh	7h3s	4c 3d 5d 9h Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Call|Call|Call|Call	tie
