rank	key	hero	villain	heroClass	villainClass	win	tie	loss	equity	stderr
1	65797	2c3c	2d3d	32s	32s	0.071335463796	0.857329072408	0.071335463796	0.500000000000	0.000000000000
2	66052	2c3c	4c2d	32s	42o	0.252086662181	0.473588801988	0.274324535830	0.488881063176	0.000000000000
3	66053	2c3c	2d4d	32s	42s	0.255027728721	0.437822372663	0.307149898616	0.473938915052	0.000000000000
4	66308	2c3c	5c2d	32s	52o	0.251229337781	0.349911581121	0.398859081098	0.426185128342	0.000000000000
5	66564	2c3c	6c2d	32s	62o	0.269206869808	0.255845924555	0.474947205636	0.397129832086	0.000000000000
6	66820	2c3c	7c2d	32s	72o	0.279752310337	0.188787154617	0.531460535045	0.374145887646	0.000000000000
7	67076	2c3c	8c2d	32s	82o	0.278958058849	0.141639568675	0.579402372476	0.349777843187	0.000000000000
8	67332	2c3c	9c2d	32s	92o	0.282390276493	0.104226819537	0.613382903970	0.334503686261	0.000000000000
9	67588	2c3c	Tc2d	32s	T2o	0.282137984844	0.076340416188	0.641521598968	0.320308192938	0.000000000000
10	67844	2c3c	Jc2d	32s	J2o	0.282364580121	0.056710140255	0.660925279623	0.310719650249	0.000000000000
11	68100	2c3c	Qc2d	32s	Q2o	0.282654248311	0.041890925910	0.675454825779	0.303599711266	0.000000000000
12	68356	2c3c	Kc2d	32s	K2o	0.283006989413	0.029532723161	0.687460287426	0.297773350994	0.000000000000
13	68612	2c3c	Ac2d	32s	A2o	0.268272456293	0.016302011792	0.715425531915	0.276423462189	0.000000000000
14	70148	2c3c	4c3d	32s	43o	0.248565091245	0.453897205169	0.297537703585	0.475513693830	0.000000000000
15	70404	2c3c	5c3d	32s	53o	0.247707766845	0.342564170848	0.409728062307	0.418989852269	0.000000000000
16	70660	2c3c	6c3d	32s	63o	0.261962829030	0.252318513535	0.485718657435	0.388122085798	0.000000000000
17	70916	2c3c	7c3d	32s	73o	0.261073968174	0.186375783739	0.552550248087	0.354261860044	0.000000000000
18	71172	2c3c	8c3d	32s	83o	0.278742559732	0.136742073837	0.584515366430	0.347113596651	0.000000000000
19	71428	2c3c	9c3d	32s	93o	0.278036493520	0.104287556415	0.617675950065	0.330180271727	0.000000000000
20	71684	2c3c	Tc3d	32s	T3o	0.277784201871	0.077221100926	0.644994697203	0.316394752334	0.000000000000
21	71940	2c3c	Jc3d	32s	J3o	0.278010797148	0.058410772853	0.663578429998	0.307216183575	0.000000000000
22	72196	2c3c	Qc3d	32s	Q3o	0.278300465338	0.044411506368	0.677288028294	0.300506218522	0.000000000000
23	72452	2c3c	Kc3d	32s	K3o	0.278653206440	0.032873251479	0.688473542081	0.295089832179	0.000000000000
24	72708	2c3c	Ac3d	32s	A3o	0.263918673320	0.020462487969	0.715618838711	0.274149917304	0.000000000000
25	74241	2c3c	4c4d	32s	44	0.172551135780	0.007260393014	0.820188471206	0.176181332287	0.000000000000
26	74496	2c3c	4c5c	32s	54s	0.285256005943	0.191889407488	0.522854586569	0.381200709687	0.000000000000
27	74497	2c3c	4c5d	32s	54o	0.328887277026	0.189407371588	0.481705351386	0.423590962820	0.000000000000
28	74500	2c3c	5c4d	32s	54o	0.328887277026	0.189431899943	0.481680823031	0.423603226997	0.000000000000
29	74752	2c3c	4c6c	32s	64s	0.301343102627	0.125422238107	0.573234659266	0.364054221680	0.000000000000
30	74753	2c3c	4c6d	32s	64o	0.344959773498	0.123647436437	0.531392790065	0.406783491716	0.000000000000
31	74756	2c3c	6c4d	32s	64o	0.344181874247	0.123738541754	0.532079583999	0.406051145124	0.000000000000
32	75008	2c3c	4c7c	32s	74s	0.309083550584	0.079431572898	0.611484876517	0.348799337034	0.000000000000
33	75009	2c3c	4c7d	32s	74o	0.352777894579	0.078097113597	0.569124991824	0.391826451378	0.000000000000
34	75012	2c3c	7c4d	32s	74o	0.351588269373	0.078244283725	0.570167446902	0.390710411235	0.000000000000
35	75264	2c3c	4c8c	32s	84s	0.320543548342	0.050519066708	0.628937384950	0.345803081696	0.000000000000
36	75265	2c3c	4c8d	32s	84o	0.364065025837	0.049411202684	0.586523771480	0.388770627178	0.000000000000
37	75268	2c3c	8c4d	32s	84o	0.362778455228	0.049603925471	0.587617619301	0.387580417963	0.000000000000
38	75520	2c3c	4c9c	32s	94s	0.325477251703	0.033150071483	0.641372676814	0.342052287444	0.000000000000
39	75521	2c3c	4c9d	32s	94o	0.368922224091	0.032149081004	0.598928694905	0.384996764593	0.000000000000
40	75524	2c3c	9c4d	32s	94o	0.367461618965	0.032366916155	0.600171464880	0.383645077042	0.000000000000
41	75776	2c3c	4cTc	32s	T4s	0.324376979789	0.022428844411	0.653194175801	0.335591401994	0.000000000000
42	75777	2c3c	4cTd	32s	T4o	0.367859328717	0.021492094862	0.610648576421	0.378605376148	0.000000000000
43	75780	2c3c	Tc4d	32s	T4o	0.366377699287	0.021685401658	0.611936899055	0.377220400116	0.000000000000
44	76032	2c3c	4cJc	32s	J4s	0.325035741317	0.016562479560	0.658401779123	0.333316981097	0.000000000000
45	76033	2c3c	4cJd	32s	J4o	0.368517506237	0.015684714864	0.615797778899	0.376359863669	0.000000000000
46	76036	2c3c	Jc4d	32s	J4o	0.367020108579	0.015842981153	0.617136910268	0.374941599155	0.000000000000
47	76288	2c3c	4cQc	32s	Q4s	0.325757575758	0.012664223175	0.661578201067	0.332089687345	0.000000000000
48	76289	2c3c	4cQd	32s	Q4o	0.369233500593	0.011840187256	0.618926312150	0.375153594222	0.000000000000
49	76292	2c3c	Qc4d	32s	Q4o	0.367725590783	0.011952900887	0.620321508330	0.373702041226	0.000000000000
50	76544	2c3c	4cKc	32s	K4s	0.326542483110	0.009914127398	0.663543389492	0.331499546809	0.000000000000
51	76545	2c3c	4cKd	32s	K4o	0.370007311786	0.009145572282	0.620847115933	0.374580097927	0.000000000000
52	76548	2c3c	Kc4d	32s	K4o	0.368494145899	0.009202221101	0.622303633000	0.373095256450	0.000000000000
53	76800	2c3c	4cAc	32s	A4s	0.312999327222	0.007224184491	0.679776488287	0.316611419468	0.000000000000
54	76801	2c3c	4cAd	32s	A4o	0.356528396827	0.006526878405	0.636944724768	0.359791836029	0.000000000000
55	76804	2c3c	Ac4d	32s	A4o	0.355603327447	0.006516950261	0.637879722292	0.358861802577	0.000000000000
56	78593	2c3c	5c5d	32s	55	0.166874573674	0.012399667349	0.820725758977	0.173074407348	0.000000000000
57	78848	2c3c	5c6c	32s	65s	0.295981905082	0.118487721806	0.585530373111	0.355225765985	0.000000000000
58	78849	2c3c	5c6d	32s	65o	0.339684425196	0.116739784524	0.543575790280	0.398054317458	0.000000000000
59	78852	2c3c	6c5d	32s	65o	0.338943318476	0.116806361487	0.544250320037	0.397346499220	0.000000000000
60	79104	2c3c	5c7c	32s	75s	0.303785425952	0.078316700773	0.617897873275	0.342943776339	0.000000000000
61	79105	2c3c	5c7d	32s	75o	0.347565619189	0.076932016745	0.575502364066	0.386031627561	0.000000000000
62	79108	2c3c	7c5d	32s	75o	0.346407530439	0.077054658519	0.576537811043	0.384934859698	0.000000000000
63	79360	2c3c	5c8c	32s	85s	0.315245423710	0.050338608098	0.634415968193	0.340414727759	0.000000000000
64	79361	2c3c	5c8d	32s	85o	0.358852750446	0.049173511246	0.591973738308	0.383439506069	0.000000000000
65	79364	2c3c	8c5d	32s	85o	0.357597716293	0.049341705678	0.593060578028	0.382268569133	0.000000000000
66	79616	2c3c	5c9c	32s	95s	0.320179127071	0.033048454013	0.646772418916	0.336703354077	0.000000000000
67	79617	2c3c	5c9d	32s	95o	0.363709948701	0.031990230707	0.604299820593	0.379705064054	0.000000000000
68	79620	2c3c	9c5d	32s	95o	0.362280880031	0.032183537503	0.605535582467	0.378372648782	0.000000000000
69	79872	2c3c	5cTc	32s	T5s	0.323998542315	0.022421836309	0.653579621376	0.335209460470	0.000000000000
70	79873	2c3c	5cTd	32s	T5o	0.367480891244	0.021412085704	0.611107023052	0.378186934096	0.000000000000
71	79876	2c3c	Tc5d	32s	T5o	0.366030798269	0.021605392500	0.612363809230	0.376833494520	0.000000000000
72	80128	2c3c	5cJc	32s	J5s	0.323809323578	0.016444509853	0.659746166569	0.332031578505	0.000000000000
73	80129	2c3c	5cJd	32s	J5o	0.367307440735	0.015494912118	0.617197647147	0.375054896794	0.000000000000
74	80132	2c3c	Jc5d	32s	J5o	0.365841579533	0.015628650053	0.618529770415	0.373655904559	0.000000000000
75	80384	2c3c	5cQc	32s	Q5s	0.324531158019	0.012546253469	0.662922588512	0.330804284753	0.000000000000
76	80385	2c3c	5cQd	32s	Q5o	0.368023435091	0.011650384511	0.620326180398	0.373848627347	0.000000000000
77	80388	2c3c	Qc5d	32s	Q5o	0.366547061737	0.011738569787	0.621714368477	0.372416346630	0.000000000000
78	80640	2c3c	5cKc	32s	K5s	0.325316065372	0.009796157692	0.664887776937	0.330214144217	0.000000000000
79	80641	2c3c	5cKd	32s	K5o	0.368797246283	0.008955769536	0.622246984180	0.373275131051	0.000000000000
80	80644	2c3c	Kc5d	32s	K5o	0.367315616853	0.008987890001	0.623696493146	0.371809561854	0.000000000000
81	80896	2c3c	5cAc	32s	A5s	0.311709836571	0.007106214784	0.681183948645	0.315262943963	0.000000000000
82	80897	2c3c	5cAd	32s	A5o	0.355255258412	0.006337075659	0.638407665928	0.358423796242	0.000000000000
83	80900	2c3c	Ac5d	32s	A5o	0.354366981564	0.006302619161	0.639330399275	0.357518291145	0.000000000000
