hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
1	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
2	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
3	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
4	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
5	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
5	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Raise:4.50	b450
5	3	Turn	BigBlind	18.000	0.000	191.000	Check,Raise:9.00,Raise:13.50	Raise:9.00	b900
5	4	River	BigBlind	36.000	0.000	182.000	Check,Raise:18.00,Raise:27.00	Check	k
5	5	River	BigBlind	54.000	18.000	182.000	Fold,Call,Raise:18.00,Raise:40.50	Call	c
6	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
7	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
8	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
9	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
9	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
9	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
10	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
10	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
11	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
11	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
11	3	Turn	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
11	4	River	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
12	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
13	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
13	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
13	3	Turn	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
13	4	Turn	BigBlind	10.000	1.000	195.500	Fold,Call,Raise:1.00,Raise:7.50	Call	c
13	5	River	BigBlind	11.000	0.000	194.500	Check,Raise:5.50,Raise:8.50	Check	k
14	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
14	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
16	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
16	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
