hand	heroPosition	heroHole	board	winningsChips	winningsBb	decisions	villainObservations	action
1	BigBlind	8dTh		200	2.000	1	2	b200b450f
2	Button	3cJc		100	1.000	1	1	b300f
3	BigBlind	9sJs		200	2.000	1	2	b200b450f
4	Button	4dAd		100	1.000	1	1	b300f
5	BigBlind	9cTd	Ts6s3s8s5s	-3600	-36.000	5	5	b200b450c/b450c/b900c/kb1800c
6	Button	JcQc		100	1.000	1	1	b300f
7	BigBlind	Ah3s		200	2.000	1	2	b200b450f
8	Button	TcJd		100	1.000	1	1	b300f
9	BigBlind	5c2d	9d8c6s	-200	-2.000	3	2	b200c/kb200f
10	Button	QcJd	AcQs3d	300	3.000	2	3	b300c/kb300f
11	BigBlind	7c4h	Ad5c2d2sKc	-200	-2.000	4	4	b200c/kk/kk/kk
12	Button	7sTs		100	1.000	1	1	b250f
13	BigBlind	ThJh	3h2d2c9dJd	550	5.500	5	5	b200b450c/kk/kb100c/kk
14	Button	3dAs	Jc4h4c	300	3.000	2	3	b300c/kb300f
15	BigBlind	4dKs		50	0.500	0	1	f
16	Button	JhKs	Jd5c3d	300	3.000	2	3	b300c/kb450f
17	BigBlind	8c3s	5h4s2c	-200	-2.000	3	2	b200c/kb200f
18	Button	5c6d	As8c7hJhQd	-500	-5.000	4	5	b250c/kb250c/kk/b1000f
19	BigBlind	2s7s		50	0.500	0	1	f
20	Button	9c7h	Ts6d3c5c8d	1200	12.000	4	6	b300c/kb300c/kk/b600b1950f
21	BigBlind	8hKs	Jh5c3s6s7d	-450	-4.500	4	5	b200b450c/kk/kk/kk
22	Button	7h9s		750	7.500	2	2	b250b750b1500f
23	BigBlind	7d3h	AhKh5s	-200	-2.000	3	2	b200c/kb200f
24	Button	6c6h	Jc5h3s	1800	18.000	3	4	b300b900b1800c/kb1800f
25	BigBlind	Kd6h	AsJh7s2h4s	-3600	-36.000	6	6	b200b450b1800b3500c/kk/kk/kb100c
26	Button	7cTd	9h7s3hTh6s	-1250	-12.500	4	6	b250c/kb250c/kb750c/kk
27	BigBlind	Jc3h	Ac8d3d	-200	-2.000	3	2	b200c/kb200f
28	Button	7c6s	ThTc3cTdKh	-1600	-16.000	5	5	b250b750b1500c/b100c/kk/kk
29	BigBlind	Kc6h	Th9h4h	800	8.000	3	3	b200c/b200b600b1500f
30	Button	9cQh	As9s3s2c	500	5.000	3	5	b250c/kb250c/kb500f
31	BigBlind	2c4d	KsKh6cAs	-200	-2.000	4	3	b200c/kk/kb200f
32	Button	6cAd		100	1.000	1	1	b300f
33	BigBlind	9cKh		50	0.500	0	1	f
34	Button	2d2h		100	1.000	1	1	b300f
35	BigBlind	4c3s	AhTh7d	-200	-2.000	3	2	b200c/kb200f
36	Button	6dAs	KsQc5d	300	3.000	2	3	b300c/kb300f
37	BigBlind	3c9h	Ac7s3h	-200	-2.000	3	2	b200c/kb200f
38	Button	2c4c	Ac5h2d	100	1.000	2	3	ck/kb100f
39	BigBlind	4cKh	QcTs3cQd	-200	-2.000	4	3	b200c/kk/kb200f
40	Button	3d9s	Js7h3h	250	2.500	2	3	b250c/kb250f
41	BigBlind	2h3s	Td8h7c8c	-200	-2.000	4	3	b200c/kk/kb200f
