hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
1	BigBlind	Ad2s	9c7s	JsTd5c5d6c	1800	18.000	6	7	b200b300c/kb100b200c/kk/kb1300b2600f
2	Button	JsKs	9c4d		100	1.000	1	1	b300f
3	BigBlind	3d9h	6hTs	QsJh7d	300	3.000	2	3	b200b300c/b300f
4	Button	9c3h	7h8s	AdQhJd	250	2.500	2	3	b250c/kb250f
5	BigBlind	7c8h	9c6d		200	2.000	1	2	b200b300f
6	Button	Kc7s	Qh3s		100	1.000	1	1	b300f
7	BigBlind	JdTh	8d7s	AsAc3s8sKd	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
8	Button	6d6s	8cTd	JsTc9h2s7h	-2400	-24.000	4	7	b300c/kb300c/kb600c/kb1200c
9	BigBlind	2c7h	Qc8h		200	2.000	1	2	b200b300f
10	Button	6sJs	QcKc	QhJc4h5s6c	19750	197.500	5	8	b250b750b1250c/kb1900c/kb4750c/kb11850c
11	BigBlind	KcAs	TdAh	Qd7c2c	450	4.500	2	3	b200b450c/b700f
12	Button	TcTd	3hQh	9c8d4d	300	3.000	2	3	b300c/kb450f
13	BigBlind	4cKs	2c5s		50	0.500	0	1	f
14	Button	Ad6h	3d5s	8d8c2h	250	2.500	2	3	b250c/kb400f
15	BigBlind	8sTs	2dQd	9s7d4h	300	3.000	2	3	b200b300c/b300f
16	Button	2cKd	KcTd	Ad9d2h8s	650	6.500	3	5	b250c/kb400c/kb1000f
17	BigBlind	Kc3d	JdTh	KdQdJh9d2s	-1900	-19.000	4	5	b200b300c/b450c/kk/b1150c
18	Button	8d7h	3hTs		100	1.000	1	1	b250f
19	BigBlind	6c9s	9c2h		50	0.500	0	1	f
20	Button	2cKd	5cQh	KcTc8s	250	2.500	2	3	b250c/kb400f
21	BigBlind	Kc5h	8d4s		200	2.000	1	2	b200b300f
22	Button	9cAh	Kh4s		100	1.000	1	1	b300f
23	BigBlind	Ah5s	6hKh	Kd9s5d6c3h	-3000	-30.000	5	6	b200b300c/b300c/kb1200b2400c/kk
24	Button	Td7s	4sQs	9s6c5h5d4c	-1750	-17.500	5	6	b250b750b1250c/kk/kk/b250b500c
25	BigBlind	5dKs	9c2d		50	0.500	0	1	f
26	Button	9d5h	2h9h	KhTh5sTs2d	1500	15.000	4	6	b250c/kb250c/b500b1000c/kk
27	BigBlind	9c5d	3cAs	AdKd5hJs4s	-1100	-11.000	6	7	b200b300c/kb100b200c/kk/kb300b600c
28	Button	5h5s	Qh9s	5d4h2c	300	3.000	2	3	b300c/kb450f
29	BigBlind	3c9h	4s8s	6d5s3hAs2h	-9300	-93.000	5	6	b200b300c/b450c/b750c/kb3900b7800c
30	Button	4cJh	AcJd	Kc7c2c8c9c	-20000	-200.000	6	7	cb300b500c/kk/b1300b2600b10300b18000c/b1500c
31	BigBlind	3h8s	2h3s		50	0.500	0	1	f
32	Button	8dTs	TcAs	Td7h7d2c	1500	15.000	3	5	b250c/b250b500c/b750b1500f
33	BigBlind	KdKh	7c4h		50	0.500	0	1	f
34	Button	4cQd	3c6s	Qs5s2sKd	250	2.500	3	5	ck/kb150c/kb400f
35	BigBlind	9c9d	5c3s		200	2.000	1	2	b200b450f
36	Button	Jd4h	Kc2h	JsTd9h	250	2.500	2	3	b250c/kb400f
37	BigBlind	7cTs	4d9d		200	2.000	1	2	b200b300f
38	Button	6h4s	7cTh	Ac8s5c8h2d	-300	-3.000	4	5	ck/kk/b100b200c/kk
39	BigBlind	6d3h	2c9s		50	0.500	0	1	f
40	Button	3dAs	6hKh	Kd8d4hJh4s	-20000	-200.000	6	6	b300b900b1500c/kk/b300b600b9300b18000b18500c/
41	BigBlind	8sKs	Jh2s		200	2.000	1	2	b200b300f
42	Button	6hAs	JcQd	QcTh5dTs3d	-900	-9.000	4	5	b300c/kk/b300b600c/kk
43	BigBlind	8dJh	3dTs	KcJs7d	300	3.000	2	3	b200b300c/b450f
44	Button	8cTd	5s7s	As8s8d	1250	12.500	3	4	b250b750b1250c/kb1900f
45	BigBlind	8c4s	5cQs	KcJd7d7s2s	-300	-3.000	4	5	b200b300c/kk/kk/kk
46	Button	2c3c	8d3s	7s3d2dKh5c	650	6.500	4	7	ck/kb150c/kb400c/kb1000f
47	BigBlind	9cKs	TcTd	Qd9d2dKhAc	1500	15.000	4	5	b200b300c/b300c/b900c/b2250f
48	Button	Qh3s	Ad2h	Ks9d8c3h	250	2.500	3	4	b250c/kk/kb250f
49	BigBlind	6cKd	5c6h	4s3c2h9c4c	-5400	-54.000	6	7	b200b300c/b300c/kb600b1200c/kb1800b3600c
50	Button	6c8c	9d9h	Tc4h2c5sQc	6300	63.000	5	8	b250b750b1250c/kb1900c/kb3150c/kb9450f
51	BigBlind	4d9d	QhTs	AcJh6c9s5h	600	6.000	4	5	b200b300c/kk/kk/b300c
52	Button	8hKs	6dJs	9d7h4s	250	2.500	2	3	b250c/kb250f
53	BigBlind	6h8h	7cKc	8c4d2hQh	750	7.500	3	4	b200b300c/b450c/b1150f
54	Button	8c4h	2h8h	8s6h5s4s3d	-1050	-10.500	4	7	ck/kb150c/b150b300c/b250b500c
55	BigBlind	2h5s	JcAh	As8d7d	-300	-3.000	3	3	b200b300c/kb900f
56	Button	4c9d	7c6h	AsKh5dJsKd	300	3.000	4	5	ck/kk/b100b200c/kk
57	BigBlind	9h8s	JsAs	Kd3s2c4sQh	-500	-5.000	5	6	b200b300c/kb100b200c/kk/kk
58	Button	4c9h	Qd8s	Jd3s2d5s9d	1200	12.000	5	7	cb300b500c/b100b200c/kk/b500b1000f
59	BigBlind	7d9s	Td5s	KdJd7c	300	3.000	2	3	b200b300c/b300f
60	Button	7dAh	5dJs	Tc4d4c	250	2.500	2	3	b250c/kb400f
61	BigBlind	4c2h	4hAs	AhQd8h3s	1200	12.000	5	6	b200b300c/kb100b200c/kb700b1400f
62	Button	6cQc	2s5s		750	7.500	2	2	b250b750b1250f
63	BigBlind	7sAs	3dKs	Jh6c3h4c9d	-500	-5.000	5	6	b200b300c/kb100b200c/kk/kk
64	Button	4c9c	QhKs	Ac3c2d	500	5.000	3	4	cb300b500c/kb750f
65	BigBlind	5dJh	4cAh	7c6s3s7s8h	-300	-3.000	4	5	b200b300c/kk/kk/kk
66	Button	6dKh	7dJd	Jh6h5d3sAd	-10900	-109.000	5	7	b300c/kb450c/kb1150b4650b10150c/kk
67	BigBlind	Ad7s	6c4d		200	2.000	1	2	b200b300f
68	Button	Jd2h	7d5h	8d2s2d	100	1.000	2	3	ck/kb150f
69	BigBlind	Jc9s	6hKs	8d4c3hKd3s	-300	-3.000	5	5	b200b300c/kk/kk/kb1500f
70	Button	7dKd	4c4d	8d5h3h	1250	12.500	3	4	b250b750b1250c/kb1250f
71	BigBlind	6cQs	4cTc	Ah9s5c	-300	-3.000	3	3	b200b300c/kb900f
72	Button	8d9d	Kh9s	Qd9h7h3dJh	1650	16.500	4	7	b250c/kb400c/kb1000c/kb2500f
73	BigBlind	6h3s	Tc6s	Jd8s8hTd7d	-500	-5.000	5	6	b200b300c/kk/kk/kb100b200c
74	Button	3h5h	9d6s	AdJc7d	500	5.000	2	3	b250c/b250b500f
75	BigBlind	KdQh	4cQc		1800	18.000	2	3	b200b300b1800b3300f
76	Button	9sJs	7c2d		100	1.000	1	1	b250f
77	BigBlind	2d5h	Qc5s	KsTs3hQh4h	-500	-5.000	5	6	b200b300c/kk/kk/kb100b200c
78	Button	TdKs	5c4h	Ts6h2dTc	650	6.500	3	5	b250c/kb400c/kb1000f
79	BigBlind	3s4s	2dJd	Kd4c2hAd2c	-12600	-126.000	6	7	b200b300c/b300c/kb600b1200b6600b12000c/kk
80	Button	5h3s	2s7s	Td8d6cAs4d	-100	-1.000	4	4	ck/kk/kk/kk
81	BigBlind	6cQd	JdJh	QhJcTc7cQc	-20000	-200.000	6	6	b200b300c/kb900b1800c/b2100c/b6300b15800c
82	Button	8hJs	8cJc		750	7.500	2	2	b250b750b1250f
83	BigBlind	2d8h	8cKd	QcTc3s	-300	-3.000	3	3	b200b300c/kb900f
84	Button	4sAs	Th6s		100	1.000	1	1	b300f
85	BigBlind	TdJs	2hTh		200	2.000	1	2	b200b300f
86	Button	8hKh	6cKc	7d7c4cTc2d	-20000	-200.000	6	7	b250b750b1250c/kb1250c/kk/b2000b4000b17500c
87	BigBlind	7dJs	7sQs	8d3s2h4d8h	-500	-5.000	5	6	b200b300c/kk/kb100b200c/kk
88	Button	5h4s	7cKc	9h4h3d	500	5.000	3	4	cb300b500c/kb750f
89	BigBlind	3dJh	4h9s	3s3c2h	300	3.000	2	3	b200b300c/b450f
90	Button	QcTs	8hAs	8s6h4cKdKs	-1250	-12.500	5	5	b250b750b1250c/kk/kk/kk
91	BigBlind	Jc8d	4h9s	9h7h5c	400	4.000	3	4	b200b300c/kb100b200f
92	Button	8d5s	3cAs	JcTc9h8c7d	0	0.000	4	5	ck/kk/kk/kb100c
93	BigBlind	Qd5h	JdQs	As7h5s3dQc	1250	12.500	5	6	b200b300c/kb100b200c/kk/b750c
94	Button	3c3d	JsAs	7c3h2h5c	3150	31.500	4	6	b250b750b1250c/kb1900c/kb4750f
95	BigBlind	AdKh	6s9s	Jc5c3c	1200	12.000	3	4	b200b450c/kb750b1500f
96	Button	JsKs	3sQs	Ah7d2h	300	3.000	2	3	b300c/kb300f
97	BigBlind	Jc6h	3hQh	Th7s4h7d2c	-2100	-21.000	5	6	b200b300c/kb900b1800c/kk/kk
98	Button	KdKs	8hJh	Kh7s2s	300	3.000	2	3	b300c/kb450f
99	BigBlind	4h5s	6hAs	AcTsTd	-300	-3.000	3	3	b200b300c/kb1500f
100	Button	9cJs	JcAd	QhTh2s7c9h	4500	45.000	5	7	b250b750b1250c/kb1250c/kk/b2000b4000f
101	BigBlind	8hTh	3d9d		200	2.000	1	2	b200b300f
102	Button	QdTs	6cQh	KsJcTh9d3s	0	0.000	4	7	b250c/kb400c/kb1000c/kb2500c
103	BigBlind	5d3s	8d2h		50	0.500	0	1	f
104	Button	KcAd	2d4d	7h6d5cTh	750	7.500	3	5	b300c/kb450c/kb750f
105	BigBlind	3dKs	4c6d	9c7c5d4s3s	-1250	-12.500	5	6	b200b300c/kb100b200c/kk/b750c
106	Button	6dQd	7c6h	AcQcJh	250	2.500	2	3	b250c/kb400f
107	BigBlind	4h9s	5dJh	Td9c2s	300	3.000	2	3	b200b300c/b450f
