street	board	potBefore	toCall	position	stackBefore	action	holeCards
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	9c7s
Preflop	-	5.000	1.000	Button	198.000	Call	9c7s
Flop	Js Td 5c	6.000	0.000	Button	197.000	Raise:1.00	9c7s
Flop	Js Td 5c	9.000	1.000	Button	196.000	Call	9c7s
Turn	Js Td 5c 5d	10.000	0.000	Button	195.000	Check	9c7s
River	Js Td 5c 5d 6c	10.000	0.000	Button	195.000	Raise:13.00	9c7s
River	Js Td 5c 5d 6c	49.000	13.000	Button	182.000	Fold	9c7s
Preflop	-	4.000	2.000	BigBlind	199.000	Fold	9c4d
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	6hTs
Preflop	-	5.000	1.000	Button	198.000	Call	6hTs
Flop	Qs Jh 7d	9.000	3.000	Button	197.000	Fold	6hTs
Preflop	-	3.500	1.500	BigBlind	199.000	Call	7h8s
Flop	Ad Qh Jd	5.000	0.000	BigBlind	197.500	Check	7h8s
Flop	Ad Qh Jd	7.500	2.500	BigBlind	197.500	Fold	7h8s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	9c6d
Preflop	-	5.000	1.000	Button	198.000	Fold	9c6d
Preflop	-	4.000	2.000	BigBlind	199.000	Fold	Qh3s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	8d7s
Preflop	-	5.000	1.000	Button	198.000	Call	8d7s
Flop	As Ac 3s	9.000	3.000	Button	197.000	Call	8d7s
Turn	As Ac 3s 8s	18.000	6.000	Button	194.000	Call	8d7s
River	As Ac 3s 8s Kd	36.000	12.000	Button	188.000	Call	8d7s
Preflop	-	4.000	2.000	BigBlind	199.000	Call	8cTd
Flop	Js Tc 9h	6.000	0.000	BigBlind	197.000	Check	8cTd
Flop	Js Tc 9h	9.000	3.000	BigBlind	197.000	Call	8cTd
Turn	Js Tc 9h 2s	12.000	0.000	BigBlind	194.000	Check	8cTd
Turn	Js Tc 9h 2s	18.000	6.000	BigBlind	194.000	Call	8cTd
River	Js Tc 9h 2s 7h	24.000	0.000	BigBlind	188.000	Check	8cTd
River	Js Tc 9h 2s 7h	36.000	12.000	BigBlind	188.000	Call	8cTd
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	Qc8h
Preflop	-	5.000	1.000	Button	198.000	Fold	Qc8h
