hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
1	BigBlind	8cQh	5dKd		1800	18.000	2	3	b200b300b1800b3300f
2	Button	4c5s	2c9h		100	1.000	1	1	b250f
3	BigBlind	KcAd	9d8h	9s5h3h2hJh	-14600	-146.000	5	6	b200b450c/b700c/b1150b3650b6150c/b7300c
4	Button	3d7s	7cAc	Qc9d6d9c5d	-1000	-10.000	4	6	b250c/kb250c/kb500c/kk
5	BigBlind	7c8s	9dTs	9c8d3d6s7s	-4750	-47.500	4	5	b200b300c/b450c/b1150c/b2850c
6	Button	3d8h	2d4s		100	1.000	1	1	b250f
7	BigBlind	QcTd	6d2h		50	0.500	0	1	f
8	Button	7h2s	3c5s	KhQc8dQh4d	250	2.500	4	4	b250c/kk/kk/kk
9	BigBlind	KdAd	9cJh	Jd8s7hQc8c	5400	54.000	5	6	b200b450c/b450c/b900b2700b4500c/b5400f
10	Button	5c4s	2c5s		100	1.000	1	1	b250f
11	BigBlind	2sTs	2d5s		50	0.500	0	1	f
12	Button	KhAh	ThQs	9s5c3s	1200	12.000	3	4	b300c/kb300b900b2250f
13	BigBlind	Tc2h	Qh9s	Kd9h6cJc4d	-500	-5.000	5	6	b200b300c/kk/kk/kb100b200c
14	Button	TcQc	5h9h	Kd8s2s	300	3.000	2	3	b300c/kb300f
15	BigBlind	4c5h	ThAh	JsTc3dJcAd	-500	-5.000	6	6	b200b300c/kb100b200c/kk/kb700f
16	Button	AcKh	9d4s		100	1.000	1	1	b300f
17	BigBlind	2c9c	Tc3d	AhKdTs4s9h	-600	-6.000	4	5	b200b300c/kk/kk/b300c
18	Button	3c9c	2h2s	AdAcJs9d	500	5.000	3	5	b250c/kb250c/kb750f
19	BigBlind	3cQc	8dAh	AcQs6s5h7s	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
20	Button	Th4s	3dAs	AcQd8dKc3s	-10750	-107.500	5	7	b250c/kk/b250b500c/b250b500b5250b10000c
21	BigBlind	TcTd	5s9s		200	2.000	1	2	b200b450f
22	Button	9c8s	Kh5s	Ad7s2c	250	2.500	2	3	b250c/kb250f
23	BigBlind	Qc7d	3cQd		200	2.000	1	2	b200b300f
24	Button	3c2d	KcJd	Ks7d5s2sTc	-4250	-42.500	5	7	b250b750b1250c/kk/b250b500c/b1250b2500c
25	BigBlind	KdKh	4c3d		200	2.000	1	2	b200b450f
26	Button	9dQs	Ad3s	Qc6s4c	300	3.000	2	3	b300c/kb450f
27	BigBlind	7d2s	9cKd	AhKc9h7h9d	-12400	-124.000	6	7	b200b300c/kb100b200c/b500c/b1000b6200b11400c
28	Button	Tc7s	3hTh	6s3d3c2h8s	4000	40.000	5	8	b250c/kb250b750b1250c/b500b1000c/b1500b3000f
29	BigBlind	8hKh	5cAc	KsKc3h	300	3.000	2	3	b200b300c/b450f
30	Button	QhKh	3cQd		100	1.000	1	1	b300f
31	BigBlind	4s7s	Ac4h	As6s5cQcJd	-1500	-15.000	4	5	b200b300c/b450c/b750c/kk
32	Button	6d4h	2s3s	KsKd8d7d6h	750	7.500	4	5	b250c/kk/kk/b250b500c
33	BigBlind	Th4s	6cQh	Js3c2c	400	4.000	3	4	b200b300c/kb100b200f
34	Button	2dTd	9c8h	Ah5s5h6c	500	5.000	3	4	b250c/kk/b250b500f
35	BigBlind	Ad8s	6sAs		1800	18.000	2	3	b200b450b1800b3500f
36	Button	Qd3s	6d9h	Qc7d2h	250	2.500	2	3	b250c/kb400f
37	BigBlind	7c8c	Ad8h	Qh4c2sKs7h	750	7.500	4	5	b200b300c/kk/kk/b450c
38	Button	JdJs	Ad9s	Kc8d6s4c	750	7.500	3	5	b300c/kb450c/kb1150f
39	BigBlind	7cAs	9d5h		200	2.000	1	2	b200b450f
40	Button	3c5c	6hKh	Ah6d2c4s	1750	17.500	4	6	b250b750b1250c/b250b500c/kb2650f
41	BigBlind	Jd2s	5c7d		200	2.000	1	2	b200b300f
42	Button	5c6s	7s8s	Ks9s8cKc	4500	45.000	4	6	b250b750b1250c/kb1250c/b2000b4000f
43	BigBlind	9c6s	7c4s		50	0.500	0	1	f
44	Button	2s7s	6dAs	9h8h4s	250	2.500	2	3	b250c/kb250f
45	BigBlind	6h9h	7cTc		1800	18.000	2	3	b200b300b1800b3300f
46	Button	TcQs	Ac9h	Kc8h6s8d	600	6.000	3	5	b300c/kb300c/kb600f
47	BigBlind	3c5c	6d3h	7h7d4s3s	600	6.000	3	4	b200b300c/b300c/b900f
