hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
1	BigBlind	8c8h	3cKc	8s7h7d	450	4.500	2	3	b200b450c/b700f
2	Button	2dQs	Jh7s	Js9c2c5hQd	1650	16.500	4	7	b250c/kb400c/kb1000c/kb2500f
3	BigBlind	4cKh	4dAh	AcTs8h9dQc	-600	-6.000	4	5	b200b300c/b300c/kk/kk
4	Button	JdAd	3c3s	Qd7h6s	300	3.000	2	3	b300c/kb450f
5	BigBlind	7dJs	9cQs	Jc4s2c6c	5300	53.000	4	5	b200b300c/b450b2400b5000c/b7950f
6	Button	5h9h	3dJs	Ad9d6d	500	5.000	2	3	b250c/b250b500f
7	BigBlind	2cTs	Qd2h		200	2.000	1	2	b200b300f
8	Button	Ad2h	Tc9s		900	9.000	2	2	b300b900b1800f
9	BigBlind	Kc6s	JdQd	QsJs5c2hAh	-20000	-200.000	5	6	b200b300b1800b3300c/b3300b7500b11700c/b5000c/
10	Button	ThTs	4cAc	Kh9d5d	300	3.000	2	3	b300c/kb450f
11	BigBlind	3sJs	2cTh	KdTs3d	300	3.000	2	3	b200b300c/b300f
12	Button	Kc8d	6cAh	Qd8h6d	1200	12.000	3	4	b300c/kb450b900b2350f
13	BigBlind	3dTd	6sQs	Qh6c2c9c	1800	18.000	4	5	b200b300c/b300b900b1500c/b1800f
14	Button	Qd7h	4h8s		100	1.000	1	1	b300f
15	BigBlind	7cQc	7h3s		50	0.500	0	1	f
16	Button	AdAs	9c6h		100	1.000	1	1	b300f
17	BigBlind	7c9d	Qd2h	Th4s4c	300	3.000	2	3	b200b300c/b300f
18	Button	Jd3h	4d5d		750	7.500	2	2	b250b750b1250f
19	BigBlind	5c5d	8cTc	Kh4h3h	450	4.500	2	3	b200b450c/b450f
20	Button	TdJs	4c3h		100	1.000	1	1	b300f
21	BigBlind	4h8h	QcAh	Js9d7s2h	600	6.000	3	4	b200b300c/b300c/b600f
22	Button	Qh7s	3c8c		100	1.000	1	1	b300f
23	BigBlind	5d8d	TcQd	KdJs9d7c	-6000	-60.000	5	5	b200b300c/b300b1500b2700c/b3000b17000f
24	Button	8cAc	9cJs	KsJh9sKd	750	7.500	3	5	b300c/kb450c/kb1150f
