street	board	potBefore	toCall	position	stackBefore	action	holeCards
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	3cKc
Preflop	-	6.500	2.500	Button	198.000	Call	3cKc
Flop	8s 7h 7d	16.000	7.000	Button	195.500	Fold	3cKc
Preflop	-	3.500	1.500	BigBlind	199.000	Call	Jh7s
Flop	Js 9c 2c	5.000	0.000	BigBlind	197.500	Check	Jh7s
Flop	Js 9c 2c	9.000	4.000	BigBlind	197.500	Call	Jh7s
Turn	Js 9c 2c 5h	13.000	0.000	BigBlind	193.500	Check	Jh7s
Turn	Js 9c 2c 5h	23.000	10.000	BigBlind	193.500	Call	Jh7s
River	Js 9c 2c 5h Qd	33.000	0.000	BigBlind	183.500	Check	Jh7s
River	Js 9c 2c 5h Qd	58.000	25.000	BigBlind	183.500	Fold	Jh7s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	4dAh
Preflop	-	5.000	1.000	Button	198.000	Call	4dAh
Flop	Ac Ts 8h	9.000	3.000	Button	197.000	Call	4dAh
Turn	Ac Ts 8h 9d	12.000	0.000	Button	194.000	Check	4dAh
River	Ac Ts 8h 9d Qc	12.000	0.000	Button	194.000	Check	4dAh
Preflop	-	4.000	2.000	BigBlind	199.000	Call	3c3s
Flop	Qd 7h 6s	6.000	0.000	BigBlind	197.000	Check	3c3s
Flop	Qd 7h 6s	10.500	4.500	BigBlind	197.000	Fold	3c3s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	9cQs
Preflop	-	5.000	1.000	Button	198.000	Call	9cQs
Flop	Jc 4s 2c	10.500	4.500	Button	197.000	Raise:19.50	9cQs
Flop	Jc 4s 2c	80.000	26.000	Button	173.000	Call	9cQs
Turn	Jc 4s 2c 6c	185.500	79.500	Button	147.000	Fold	9cQs
Preflop	-	3.500	1.500	BigBlind	199.000	Call	3dJs
Flop	Ad 9d 6d	5.000	0.000	BigBlind	197.500	Raise:2.50	3dJs
Flop	Ad 9d 6d	12.500	2.500	BigBlind	195.000	Fold	3dJs
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	Qd2h
Preflop	-	5.000	1.000	Button	198.000	Fold	Qd2h
Preflop	-	4.000	2.000	BigBlind	199.000	Raise:6.00	Tc9s
Preflop	-	27.000	9.000	BigBlind	191.000	Fold	Tc9s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	JdQd
Preflop	-	5.000	1.000	Button	198.000	Raise:15.00	JdQd
Preflop	-	51.000	15.000	Button	182.000	Call	JdQd
Flop	Qs Js 5c	99.000	33.000	Button	167.000	Raise:42.00	JdQd
Flop	Qs Js 5c	258.000	42.000	Button	92.000	Call	JdQd
Turn	Qs Js 5c 2h	350.000	50.000	Button	50.000	Call	JdQd
Preflop	-	4.000	2.000	BigBlind	199.000	Call	4cAc
Flop	Kh 9d 5d	6.000	0.000	BigBlind	197.000	Check	4cAc
Flop	Kh 9d 5d	10.500	4.500	BigBlind	197.000	Fold	4cAc
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	2cTh
Preflop	-	5.000	1.000	Button	198.000	Call	2cTh
Flop	Kd Ts 3d	9.000	3.000	Button	197.000	Fold	2cTh
Preflop	-	4.000	2.000	BigBlind	199.000	Call	6cAh
Flop	Qd 8h 6d	6.000	0.000	BigBlind	197.000	Check	6cAh
Flop	Qd 8h 6d	10.500	4.500	BigBlind	197.000	Raise:4.50	6cAh
