street	board	potBefore	toCall	position	stackBefore	action	holeCards
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	5dKd
Preflop	-	5.000	1.000	Button	198.000	Raise:15.00	5dKd
Preflop	-	51.000	15.000	Button	182.000	Fold	5dKd
Preflop	-	3.500	1.500	BigBlind	199.000	Fold	2c9h
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	9d8h
Preflop	-	6.500	2.500	Button	198.000	Call	9d8h
Flop	9s 5h 3h	16.000	7.000	Button	195.500	Call	9d8h
Turn	9s 5h 3h 2h	34.500	11.500	Button	188.500	Raise:25.00	9d8h
Turn	9s 5h 3h 2h	121.000	25.000	Button	152.000	Call	9d8h
River	9s 5h 3h 2h Jh	219.000	73.000	Button	127.000	Call	9d8h
Preflop	-	3.500	1.500	BigBlind	199.000	Call	7cAc
Flop	Qc 9d 6d	5.000	0.000	BigBlind	197.500	Check	7cAc
Flop	Qc 9d 6d	7.500	2.500	BigBlind	197.500	Call	7cAc
Turn	Qc 9d 6d 9c	10.000	0.000	BigBlind	195.000	Check	7cAc
Turn	Qc 9d 6d 9c	15.000	5.000	BigBlind	195.000	Call	7cAc
River	Qc 9d 6d 9c 5d	20.000	0.000	BigBlind	190.000	Check	7cAc
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	9dTs
Preflop	-	5.000	1.000	Button	198.000	Call	9dTs
Flop	9c 8d 3d	10.500	4.500	Button	197.000	Call	9dTs
Turn	9c 8d 3d 6s	26.500	11.500	Button	192.500	Call	9dTs
River	9c 8d 3d 6s 7s	66.500	28.500	Button	181.000	Call	9dTs
Preflop	-	3.500	1.500	BigBlind	199.000	Fold	2d4s
Preflop	-	1.500	0.500	Button	199.500	Fold	6d2h
Preflop	-	3.500	1.500	BigBlind	199.000	Call	3c5s
Flop	Kh Qc 8d	5.000	0.000	BigBlind	197.500	Check	3c5s
Turn	Kh Qc 8d Qh	5.000	0.000	BigBlind	197.500	Check	3c5s
River	Kh Qc 8d Qh 4d	5.000	0.000	BigBlind	197.500	Check	3c5s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	9cJh
Preflop	-	6.500	2.500	Button	198.000	Call	9cJh
Flop	Jd 8s 7h	13.500	4.500	Button	195.500	Call	9cJh
Turn	Jd 8s 7h Qc	27.000	9.000	Button	191.000	Raise:18.00	9cJh
Turn	Jd 8s 7h Qc	90.000	18.000	Button	164.000	Call	9cJh
River	Jd 8s 7h Qc 8c	162.000	54.000	Button	146.000	Fold	9cJh
Preflop	-	3.500	1.500	BigBlind	199.000	Fold	2c5s
Preflop	-	1.500	0.500	Button	199.500	Fold	2d5s
Preflop	-	4.000	2.000	BigBlind	199.000	Call	ThQs
Flop	9s 5c 3s	6.000	0.000	BigBlind	197.000	Check	ThQs
Flop	9s 5c 3s	9.000	3.000	BigBlind	197.000	Raise:6.00	ThQs
Flop	9s 5c 3s	37.500	13.500	BigBlind	188.000	Fold	ThQs
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	Qh9s
Preflop	-	5.000	1.000	Button	198.000	Call	Qh9s
Flop	Kd 9h 6c	6.000	0.000	Button	197.000	Check	Qh9s
Turn	Kd 9h 6c Jc	6.000	0.000	Button	197.000	Check	Qh9s
River	Kd 9h 6c Jc 4d	6.000	0.000	Button	197.000	Raise:1.00	Qh9s
River	Kd 9h 6c Jc 4d	9.000	1.000	Button	196.000	Call	Qh9s
Preflop	-	4.000	2.000	BigBlind	199.000	Call	5h9h
Flop	Kd 8s 2s	6.000	0.000	BigBlind	197.000	Check	5h9h
Flop	Kd 8s 2s	9.000	3.000	BigBlind	197.000	Fold	5h9h
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	ThAh
Preflop	-	5.000	1.000	Button	198.000	Call	ThAh
Flop	Js Tc 3d	6.000	0.000	Button	197.000	Raise:1.00	ThAh
Flop	Js Tc 3d	9.000	1.000	Button	196.000	Call	ThAh
Turn	Js Tc 3d Jc	10.000	0.000	Button	195.000	Check	ThAh
River	Js Tc 3d Jc Ad	10.000	0.000	Button	195.000	Raise:7.00	ThAh
Preflop	-	4.000	2.000	BigBlind	199.000	Fold	9d4s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	Tc3d
Preflop	-	5.000	1.000	Button	198.000	Call	Tc3d
Flop	Ah Kd Ts	6.000	0.000	Button	197.000	Check	Tc3d
Turn	Ah Kd Ts 4s	6.000	0.000	Button	197.000	Check	Tc3d
River	Ah Kd Ts 4s 9h	9.000	3.000	Button	197.000	Call	Tc3d
Preflop	-	3.500	1.500	BigBlind	199.000	Call	2h2s
Flop	Ad Ac Js	5.000	0.000	BigBlind	197.500	Check	2h2s
Flop	Ad Ac Js	7.500	2.500	BigBlind	197.500	Call	2h2s
Turn	Ad Ac Js 9d	10.000	0.000	BigBlind	195.000	Check	2h2s
Turn	Ad Ac Js 9d	17.500	7.500	BigBlind	195.000	Fold	2h2s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	8dAh
Preflop	-	5.000	1.000	Button	198.000	Call	8dAh
Flop	Ac Qs 6s	10.500	4.500	Button	197.000	Call	8dAh
Turn	Ac Qs 6s 5h	26.500	11.500	Button	192.500	Call	8dAh
River	Ac Qs 6s 5h 7s	66.500	28.500	Button	181.000	Fold	8dAh
Preflop	-	3.500	1.500	BigBlind	199.000	Call	3dAs
Flop	Ac Qd 8d	5.000	0.000	BigBlind	197.500	Check	3dAs
Turn	Ac Qd 8d Kc	5.000	0.000	BigBlind	197.500	Raise:2.50	3dAs
Turn	Ac Qd 8d Kc	12.500	2.500	BigBlind	195.000	Call	3dAs
River	Ac Qd 8d Kc 3s	15.000	0.000	BigBlind	192.500	Raise:2.50	3dAs
River	Ac Qd 8d Kc 3s	22.500	2.500	BigBlind	190.000	Raise:47.50	3dAs
River	Ac Qd 8d Kc 3s	167.500	47.500	BigBlind	140.000	Call	3dAs
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	5s9s
Preflop	-	6.500	2.500	Button	198.000	Fold	5s9s
Preflop	-	3.500	1.500	BigBlind	199.000	Call	Kh5s
Flop	Ad 7s 2c	5.000	0.000	BigBlind	197.500	Check	Kh5s
Flop	Ad 7s 2c	7.500	2.500	BigBlind	197.500	Fold	Kh5s
Preflop	-	1.500	0.500	Button	199.500	Raise:1.00	3cQd
Preflop	-	5.000	1.000	Button	198.000	Fold	3cQd
Preflop	-	3.500	1.500	BigBlind	199.000	Raise:5.00	KcJd
Preflop	-	20.000	5.000	BigBlind	192.500	Call	KcJd
